id,wordEn,word
t1,Naj’m,نَجْم
t1,Kawaakib,كَوَاكِب
t1,Khun’nass,خُنَّس
t1,Jawaari,جَوَارِ
t1,Kun’nass,كُنَّس
t2,Ass’ass,عَسْعَسَ
t2,Ghasaq,غَسَقَ
t2,Ghatasha,غَطَشَ
t2,Waqab,وَقَبَ
t2,Sajaa,سَجَىَ
t2,Az’lam,أَظْلَمَ
t3,Taree,طَرِي
t3,Ratb,رَطْب
t3,Nudrah,نُضْرَة
t3,Naa’emah,نَاعِمَة
t4,Le,لِ
t4,Kai,كَيْ
t4,Kaylaa,كَيْلَا
t4,Le’kaylaa,لِكَيْلَا
t4,Le’al’laa,لِئَلَّا
t5,Qitr,قِطْر
t5,Muhl,مُهْل
t6,Arsh,عَرْش
t6,Araa’ek,أَرَائِك
t6,Sareer,سَرِير
t7,Zubar,زُبَر
t7,Alwaah,أَلْوَاح
t8,Dab’bara,دَبَّرَ
t8,Kaada(kayd),كَادَ(كيد)
t8,Makara,مَكَرَ
t8,Heelah,حِيْلَةً
t9,Meezaan,مِيزَان
t9,Qiss’taass,قِسْطَاس
t10,Nahata,نَحَتَ
t10,Jaaba,جَابَ
t11,Qadb,قَضْب
t11,Baql,بَقْل
t12,Sab’baha,سَبَّحَ
t12,Qad’dasa,قَدَّسَ
t12,Haashaa,حَاشَا
t13,Sakeenah,سَكِيْنَة
t13,It’mi’enaan,اِطْمِئْنَان
t14,Abara,عَبَرَ
t14,Aw’wala,أَوَّلَ
t14,Af’taa,أَفْتَىَ
t15,Hamada,حَمَدَ
t15,Shakara,شَكَرَ
t16,Az’zama,عَظَّمَ
t16,Waq’qara,وَقَّرَ
t17,Elaa,إِلَى
t17,Hat’taa,حَتَّى
t18,Darr,ضَرّ
t18,Durr,ضُرّ
t18,Dar’raa’a,ضَرَّاء
t18,Kur’han,كُرْهاً
t18,Athan,أَذىً
t18,Ma’ar’rah,مَعَرَّة
t19,Darra,ضَرَّ
t19,Athaa,أَذَى
t19,Kal’lafa,كَلَّفَ
t19,Shaq’qa,شَقَّ
t19,Ak’raha,أَكْرَهَ
t19,A’nata-A’a’nata,عَنَتَ-أَعْنَتَ
t19,Saama,سَامَ
t20,Shafaa,شَفَى
t20,Ab’ra’aa,أَبْرَأَ
t20,Afaaqa,أَفَاقَ
t21,Faqr,فَقْر
t21,Mas’kanah,مَسْكَنَة
t21,Aylah,عَيْلَة
t21,Em’laaq,إِمْلَاق
t21,Qatar,قَتَر
t21,Ba’a’saa’a,بَأْسَاء
t21,Mat’rabah,مَتْرَبَة
t22,Osr,عُسْر
t22,Haraj,حَرَج
t22,Danak,ضَنْك
t22,Dayq,ضَيْق
t22,Haajah,حَاجَة
t23,Daaqa,ضَاقَ
t23,Qadara,قَدَرَ
t23,Qabada,قَبَضَ
t23,Hasira,حَصِرَ
t23,Hafaa,حَفَا
t24,Nakatha,نَكَثَ
t24,Naqada,نَقَضَ
