id,topic,topicUr,count,pg
A1,To settle,Abad hona (basna) rehna,8,67
A2,To cultivate, populate,Abad karna; basana,4,69
A3,The Hereafter,Akhirat,2,70
A4,Man, Human,Aadmi (insaan),3,71
A5,To rest,aaraam karna,3,74
A6,To wish; make a wish,arzoo; arzoo karna,3,74
A7,Barrier,aar,4,76
A8,Free,azad,3,78
A9,To free,azad karna,3,79
A10,To put to trial; test,azmaish karna,3,80
A11,Easy,aasan,2,82
A12,Sky; Heaven,aasmaan,2,83
A13,To haunt,AASAYB ZADA KARNA,2,84
A14,Fire,aag,2,85
A15,Fireball; cinder,AAG KA ANGARA,3,85
A16,Burning of fire; to lit fire,AAG KA JALNA - JALANA,7,86
A17,Fire burning other things,AAG KA DOSRI CHEEZON KO JALANA,6,88
A18,To be extinguished; to extinguish,AAG KA BUJHNA AUR BUJHANA,3,89
A19,To be aware,AAGAH HONA,5,90
A20,To inform; show,AAGAH KARNA (BATLANA),9,91
A21,Ahead; in front,AAGAY SAMNAY,2,
A22,To come forward; go forward,AAGAY BARHNA,3,
A23,To send ahead,AAGAY BHEJNA,2,
A24,Equipment of war,AALATE E JUNG,4,
A25,To come,Aana,5,98
A26,Eye,AANKH,4,
A27,To wander,AAWARA PHIRNA,2,
A28,Sound & its kinds,AWAZ AUR US KI IQSAAM,20,
A29,To do something slowly,AAHISTA AAHISTA,6,
AA1,To boil; to rage,UBALNA JOSH MARNA,3,
AA2,Protrude,UBHAAR,5,
AA3,To excite; to provoke; encourage,UBHARNA- BRANGEKHTA KARNA,5,
AA4,To descend, to reveal, come down,UTAARNA UTARNA,4,
AA5,To be boastful/arrogant,ITRAANA,TAKABBUR KARNA,9,
AA6,To invent stories/slander,ATKAL PICCHO YAH MAN GHARAT BAATEIN KARNA,4,
AA7,To pickup; to carry burden,UTHANA, BAUJH UTHANA,10,
AA8,To stand; to get up,UTHNA,4,
AA9,To get permission,IJAZAT LEYNA,2,
AA10,Obstinate, stubborn,UJAD,3,
AA11,Suddenly,ACHANAK (NA GHAN),2,
AA12,Very good, better,ACCHA, KHWB, BEHTER,5,
AA13,To be strange,ACHANBHA AJNABI HONA,3,
AA14,To do a favor,AHSAN KARNA,4,
AA15,To have power,IKHTIAR (RAKHNA),4,
AA16,To choose, select,IKHTYAR KARNA,2,
AA17,Debt/credit,UDHAAR,2,
AA18,To intend (To Aspire),IRADAH KARNA (Qasd karna),7,
AA19,To persist,ARNA,3,
AA20,To fly; to make fly,URANA URNA,3,
AA21,To point, indicate,ISHARA KARNA,4,
AA22,Obedience,ATA3T (PAYRWY,TAB3DARY,FARMANBARDARI) KARNA,8,
AA23,Middle path; balanced; Moderation,A3TADAL,3,
AA24,The Book of deeds,A3MAL NAMA,4,
AA25,Remrose; Regret,AFSOOS,4,136
AA26,To grant authority,IQTADAR BAKHSHNA,2,
AA27,To acknowledge; admit,IQRAR KARNA,3,
AA28,To gather; assemble,IKHATTA KARNA -HONA,10,
AA29,To uproot; to be rooted out,UKHAARNA,UKHARNA,2,
AA30,One,AKAYLA,4,
AA31,If,AGAR,3,
AA32,To turn upside down; to invert,ULAT DEYNA AUNDHA KARNA,7,
AA33,To separate; to detach,ALAG KARNA(JUDA YA 3LAYHDA KARNA),6,
AA34,To separate,ALAG HONA (JUDA HONA-3LAYHDA HONA),10,
AA35,To hope,UMYD LAGANA,2,
AA36,Intestines,ANTARYAN,2,
AA37,To await,INTEZAR KARNA,3,
AA38,Outcome; End result; consequence,ANJAAM(KAR),3,
AA39,To estimate,ANDAZA LAGANA,2,
AA40,Inside,ANDAR,3,
AA41,Blind,ANDHA ,3,
AA42,Justice (to do justice),INSAAF,3,
AA43,To deny, to refute, to refuse,INKAR KARNA,4,
AA44,Fingers,UNGLIYAN,2,
AA45,To cover,AURHNA,3,
AA46,Children; Offspring,AWLAD,8,
AA47,Wool,AUWN,2,
AA48,Camel,AUWNT,13,
AA49,Doze, Drowse,AUWNGH,2,
AA50,Fuel,AYNDHAN,3,
AA51,O! word of calling someone,AAY(HURF-E-NIDA),3,
b1,Father,Baap,2,167
b2,To be blessed,BABARKAT HONA,4,168
b3,Discourse; speech,BAAT,3,169
b4,To talk,,,171
b5,sovereignty,,,172
b6,clouds,,,173
b7,Time/s,,,174
b8,Rain,,,175
b9,To back off, abstain,,,177
b10,Arm , wing of bird,,,178
b11,Garden,,,178
b12,To leave some remaining,,,179
b13,Hair,,,180
b14,Barren,,,180
b15,To bind, fasten,,,181
b16,Statue,,,182
b17,Lightning,,,183
b18,To save,,,184
b19,To be saved,,,185
b20,Child,,,186
b21,To spread,,,
b22,Spread/Bedding etc,,,
b23,To be stingy, miser,,,
b24,Wretchedness,,,
b25,To curse,,,
b26,To become/ make disfigured,,,
b27,Immoral, sinful, sinner,,,
b28,To substitute,,,
b29,Recompense,,,
b30,To reward/recompense,,,
b31,To take revenge,,,
b32,To be Drunk/inebriated,,,
b33,Bad, evil,,,
b34,To abuse, revile,,,
b35,To dislike/take offence,,,
b36,To be equal, to make equal,,,
b37,To be ruined, to destroy,,,
b38,To tolerate,,,
b39,Great, noble, superior,,,
b40,Greatness,,,
b41,Increase, to increase, expand,,,
b42,Village, Villagers,,,
b43,Goat,,,
b44,To be scattered, dishevelled,,,
b45,To elevate, raise,,,
b46,To be lofty, to be above,,,
b47,To make,,,
b48,To close, shut,,,
b49,Weave , knit,,,
b50,Load, burden,,,
b51,To be burdened, loaded,,,
b52,Old,,,
b53,To decay, rot,,,
b54,To speak,,,
b55,To Pour, to flow ,,,
b56,Excuse, to make an excuse,,,
b57,slander,,,
b58,Astray, to lead astray,,,
b59,Flee , cause to flee,,,
b60,brother,,,
b61,To fill up,,,
b62,hunger,,,
b63,Forget, cause to forget,,,
b64,To roast like on a spit fire,,,
b65,To send, dispatch,,,
b66,To narrate or state,,,
b67,Son , daughter,,,
b68,To sit,,,
b69,Ill,,,
b70,Wife,,,
b71,To be unfair, unjust,,,
b72,Disinclination,,,
b73,To be annoyed and dissatisfied,,,
b74,Indeed (Inna); No doubt,beshak,4,253
b75,To be restless,,,
b76,To be jobless, worthless,,,
b77,Lacking good fortune,,,
b78,Without want, Completely Independent,,,
b79,Nonsense and vulgar talk,,,
b80,To be unconscious,,,
b81,Near, close,,,
b82,Pure,,,
b83,To purify, cleanse,,,
b84,To obtain,,,
b85,Water and its different types,,,
b86,Different types of natural flowing water,,,
b87,To ask for water,,,
b88,Feet,,,
b89,Stone,,,
b90,Behind, latter,,,
b91,To regret,,,
b92,To be old/ancient,,,
b93,Veil,,,
b94,To cover, veil,,,
b95,To bring up/nurture,,,
b96,To teach, to read,,,
b97,To like, ,,,
b98,To shout, call out,,,
b99,To seize,,,
b100,Protection, shelter, refuge,,,
b101,To ask for refuge, to give refuge,,,
b102,To ask,,,
b103,Whole entire, (all),,,
b104,Accomplish , to complete,,,
b105,Garments, clothes,,,
b106,Mountain,,,
b107,To recognize,,,
b108,First, at first,,,
b109,Side, (in sleeping),,,
b110,To reach,,,
b111,To deliver,,,
b112,To tear, rip ,,,
b113,To Burst, explode,,,
b114,To stroll, to wander,,,
b115,To turn over, to refute,,,
b116,To slip, cause to slip, to seduce,,,
b117,Fruit,,,
b118,Ripening of the fruit,,,
b119,To blow,,,
b120,To spread,,,
b121,To discard,,,
b122,Thirsty,,,
b123,Bowl,,,
b124,Puss,,,
b125,Backbone, loin,,,
b126,To follow,,,
b127,Back, behind,,,
b128,Ensue, to come after,,,
b129,To leave behind,,,
b130,To stay behind,,,
b131,To put behind, cause to delay,,,
b132,To pursue, follow, cause to,,,
b133,Other derivatives of behind,,,
b134,To create,,,
b135,To present,,,
b136,Forehead,,,
b137,Prophet,,,
b138,The opponent, rival of prophets,,,
b139,To drink,,,
d1,To enter,daakhil hona,4,473
d30,To see,dekhna,15,505
t15,Hamd/to praise,tareef karna,2,347
t21,Poverty/needy,tangdasti,7,352
j4,When,Jab,4,381
j28,Disbelieving,Jhutlaana,2,407
f2,being victorious; give victory,fath hona, dena,2,659
k34,Food,khana,3,762
k35,Feeding,khilaana,2,762
l7,Army,lashkar,6,762
l13,to return/to turn towards,lawtna; lawtaana; rujoo,12,768
m18,Nasr/Help,Madad karna,9,797
m33,Istigfaar/to seek forgiveness,maafi chahna,7,816
m34,God,ma'bood,2,88
n28,No,naheen,7,863
h4,To repel/push away,hataana,7,881
h17,To be,hona,4,900
gg28,horse,ghoda,4,754
p2,Pure,paak; tasbeeh taqdees; mashgool hona,12,261
p15,Rabb/fosterer,parvarish karna,5,279
965,Orphan,yateem,1,965
968,deen/religion,deen,3,968
w2,companion,waala; waalay,4,873
D1,Guardian?,Daaman,2,
y1,or,yaa,3,
y2,to remember, recall, retain,yaad - karna, aana, rakhna,3,
y3,to think to be true,yaqeen karna,2,
y4,to firmly believe,yaksuw hona,2,
